committee_name,election_cycle,count,party
ACTBLUE,2016,1609,Democrat
ACTBLUE,2018,1609,Democrat
ACTBLUE,2020,1609,Democrat
ACTBLUE,2022,1609,Democrat
ACTBLUE,2024,1609,Democrat
WINRED,2016,337,Republican
WINRED,2018,337,Republican
WINRED,2020,337,Republican
WINRED,2022,337,Republican
WINRED,2024,337,Republican
HARRIS FOR PRESIDENT,2016,91,Democrat
HARRIS FOR PRESIDENT,2018,91,Democrat
HARRIS FOR PRESIDENT,2020,91,Democrat
HARRIS FOR PRESIDENT,2022,91,Democrat
HARRIS FOR PRESIDENT,2024,91,Democrat
BIDEN FOR PRESIDENT,2016,83,Democrat
BIDEN FOR PRESIDENT,2018,83,Democrat
BIDEN FOR PRESIDENT,2020,83,Democrat
BIDEN FOR PRESIDENT,2022,83,Democrat
BIDEN FOR PRESIDENT,2024,83,Democrat
HILLARY FOR AMERICA,2016,70,Democrat
HILLARY FOR AMERICA,2018,70,Democrat
HILLARY FOR AMERICA,2020,70,Democrat
HILLARY FOR AMERICA,2022,70,Democrat
HILLARY FOR AMERICA,2024,70,Democrat
ALSOBROOKS FOR SENATE,2016,50,Democrat
ALSOBROOKS FOR SENATE,2018,50,Democrat
ALSOBROOKS FOR SENATE,2020,50,Democrat
ALSOBROOKS FOR SENATE,2022,50,Democrat
ALSOBROOKS FOR SENATE,2024,50,Democrat
DCCC,2016,48,Democrat
DCCC,2018,48,Democrat
DCCC,2020,48,Democrat
DCCC,2022,48,Democrat
DCCC,2024,48,Democrat
"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,39,Republican
"DONALD J. TRUMP FOR PRESIDENT, INC.",2018,39,Republican
"DONALD J. TRUMP FOR PRESIDENT, INC.",2020,39,Republican
"DONALD J. TRUMP FOR PRESIDENT, INC.",2022,39,Republican
"DONALD J. TRUMP FOR PRESIDENT, INC.",2024,39,Republican
DSCC,2016,39,Democrat
DSCC,2018,39,Democrat
DSCC,2020,39,Democrat
DSCC,2022,39,Democrat
DSCC,2024,39,Democrat
HARRIS VICTORY FUND,2016,36,Democrat
HARRIS VICTORY FUND,2018,36,Democrat
HARRIS VICTORY FUND,2020,36,Democrat
HARRIS VICTORY FUND,2022,36,Democrat
HARRIS VICTORY FUND,2024,36,Democrat
WARNOCK FOR GEORGIA,2016,36,Democrat
WARNOCK FOR GEORGIA,2018,36,Democrat
WARNOCK FOR GEORGIA,2020,36,Democrat
WARNOCK FOR GEORGIA,2022,36,Democrat
WARNOCK FOR GEORGIA,2024,36,Democrat
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2016,26,Republican
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2018,26,Republican
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2020,26,Republican
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2022,26,Republican
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,2024,26,Republican
REPUBLICAN NATIONAL COMMITTEE,2016,25,Republican
REPUBLICAN NATIONAL COMMITTEE,2018,25,Republican
REPUBLICAN NATIONAL COMMITTEE,2020,25,Republican
REPUBLICAN NATIONAL COMMITTEE,2022,25,Republican
REPUBLICAN NATIONAL COMMITTEE,2024,25,Republican
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,2016,22,Democrat
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,2018,22,Democrat
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,2020,22,Democrat
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,2022,22,Democrat
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,2024,22,Democrat
"NEVER SURRENDER, INC.",2016,22,Republican
"NEVER SURRENDER, INC.",2018,22,Republican
"NEVER SURRENDER, INC.",2020,22,Republican
"NEVER SURRENDER, INC.",2022,22,Republican
"NEVER SURRENDER, INC.",2024,22,Republican
"TRUMP NATIONAL COMMITTEE JFC, INC.",2016,14,Republican
"TRUMP NATIONAL COMMITTEE JFC, INC.",2018,14,Republican
"TRUMP NATIONAL COMMITTEE JFC, INC.",2020,14,Republican
"TRUMP NATIONAL COMMITTEE JFC, INC.",2022,14,Republican
"TRUMP NATIONAL COMMITTEE JFC, INC.",2024,14,Republican
BIDEN VICTORY FUND,2016,12,Democrat
BIDEN VICTORY FUND,2018,12,Democrat
BIDEN VICTORY FUND,2020,12,Democrat
BIDEN VICTORY FUND,2022,12,Democrat
BIDEN VICTORY FUND,2024,12,Democrat
MOVEON.ORG POLITICAL ACTION,2016,12,Democrat
MOVEON.ORG POLITICAL ACTION,2018,12,Democrat
MOVEON.ORG POLITICAL ACTION,2020,12,Democrat
MOVEON.ORG POLITICAL ACTION,2022,12,Democrat
MOVEON.ORG POLITICAL ACTION,2024,12,Democrat
HILLARY VICTORY FUND,2016,11,Democrat
HILLARY VICTORY FUND,2018,11,Democrat
HILLARY VICTORY FUND,2020,11,Democrat
HILLARY VICTORY FUND,2022,11,Democrat
HILLARY VICTORY FUND,2024,11,Democrat
NRSC,2016,11,Republican
NRSC,2018,11,Republican
NRSC,2020,11,Republican
NRSC,2022,11,Republican
NRSC,2024,11,Republican
SUZAN JOHNSON COOK FOR CONGRESS,2016,11,Democrat
SUZAN JOHNSON COOK FOR CONGRESS,2018,11,Democrat
SUZAN JOHNSON COOK FOR CONGRESS,2020,11,Democrat
SUZAN JOHNSON COOK FOR CONGRESS,2022,11,Democrat
SUZAN JOHNSON COOK FOR CONGRESS,2024,11,Democrat
"TERENCE GRAY FOR CONGRESS, INC.",2016,11,Democrat
"TERENCE GRAY FOR CONGRESS, INC.",2018,11,Democrat
"TERENCE GRAY FOR CONGRESS, INC.",2020,11,Democrat
"TERENCE GRAY FOR CONGRESS, INC.",2022,11,Democrat
"TERENCE GRAY FOR CONGRESS, INC.",2024,11,Democrat
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,2016,10,Democrat
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,2018,10,Democrat
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,2020,10,Democrat
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,2022,10,Democrat
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,2024,10,Democrat
EMILY'S LIST,2016,10,Democrat
EMILY'S LIST,2018,10,Democrat
EMILY'S LIST,2020,10,Democrat
EMILY'S LIST,2022,10,Democrat
EMILY'S LIST,2024,10,Democrat
