"committee_name","count"
"ACTBLUE",1609
"WINRED",337
"HARRIS FOR PRESIDENT",91
"BIDEN FOR PRESIDENT",83
"HILLARY FOR AMERICA",70
"ALSOBROOKS FOR SENATE",50
"DCCC",48
"DONALD J. TRUMP FOR PRESIDENT, INC.",39
"DSCC",39
"HARRIS VICTORY FUND",36
"WARNOCK FOR GEORGIA",36
"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE",26
"REPUBLICAN NATIONAL COMMITTEE",25
"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE",22
"NEVER SURRENDER, INC.",22
"TRUMP NATIONAL COMMITTEE JFC, INC.",14
"BIDEN VICTORY FUND",12
"MOVEON.ORG POLITICAL ACTION",12
"HILLARY VICTORY FUND",11
"NRSC",11
"SUZAN JOHNSON COOK FOR CONGRESS",11
"TERENCE GRAY FOR CONGRESS, INC.",11
"DNC SERVICES CORP./DEM. NAT'L COMMITTEE",10
"EMILY'S LIST",10
"JAMIE RASKIN FOR CONGRESS",9
"WARREN FOR PRESIDENT, INC.",9
"ALSOBROOKS VICTORY FUND",8
"MAKE AMERICA GREAT AGAIN PAC",8
"NRCC",8
"SAVE AMERICA",8
"WIN THE ERA PAC",8
"DEMOCRATIC ACTION",7
"DONNA EDWARDS FOR SENATE",7
"PARROTT FOR CONGRESS",7
"AMY MCGRATH FOR SENATE, INC.",6
"FRIENDS OF SHERROD BROWN",6
"JAIME HARRISON FOR US SENATE",6
"VAN HOLLEN FOR SENATE",6
"BERNIE 2016",5
"CRUZ FOR PRESIDENT",5
"IT STARTS TODAY",5
"JON OSSOFF FOR SENATE",5
"NIKKI HALEY FOR PRESIDENT INC.",5
"SENATE CONSERVATIVES FUND",5
"SWING LEFT",5
"TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE",5
"CHERI BEASLEY FOR NORTH CAROLINA",4
"DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND",4
"EMILYS LIST",4
"FETTERMAN FOR PA",4
"NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC",4
"PROGRESSIVE TURNOUT PROJECT",4
"SCALISE FOR CONGRESS",4
"SMP",4
"THE LINCOLN PROJECT",4
"TIM RYAN FOR OHIO",4
"VAL DEMINGS FOR U.S. SENATE",4
"WARNOCK VICTORY FUND",4
"AUDREY DENNEY FOR CONGRESS",3
"CARSON AMERICA",3
"CHC BOLD PAC",3
"COLIN ALLRED FOR SENATE",3
"CORY BOOKER FOR SENATE",3
"DITCH FUND",3
"DOUG JONES FOR SENATE COMMITTEE",3
"ELECT DEMOCRATIC WOMEN",3
"END CITIZENS UNITED",3
